"Time","Region Code","Region","Total population (Both sexes)【person】","Annotation"
"Jan.1988","00000","Japan","122277000",""
"Feb.1988","00000","Japan","122403000",""
"Mar.1988","00000","Japan","122355000",""
"Apr.1988","00000","Japan","122427000",""
"May 1988","00000","Japan","122407000",""
"Jun.1988","00000","Japan","122552000",""
"Jul.1988","00000","Japan","122578000",""
"Aug.1988","00000","Japan","122513000",""
"Sep.1988","00000","Japan","122651000",""
"Oct.1988","00000","Japan","122745000",""
"Nov.1988","00000","Japan","122806000",""
"Dec.1988","00000","Japan","122863000",""
"Jan.1989","00000","Japan","122772000",""
"Feb.1989","00000","Japan","122897000",""
"Mar.1989","00000","Japan","122851000",""
"Apr.1989","00000","Japan","122925000",""
"May 1989","00000","Japan","122915000",""
"Jun.1989","00000","Japan","123052000",""
"Jul.1989","00000","Japan","123069000",""
"Aug.1989","00000","Japan","122992000",""
"Sep.1989","00000","Japan","123115000",""
"Oct.1989","00000","Japan","123205000",""
"Nov.1989","00000","Japan","123253000",""
"Dec.1989","00000","Japan","123293000",""
"Jan.1990","00000","Japan","123210000",""
"Feb.1990","00000","Japan","123325000",""
"Mar.1990","00000","Japan","123263000",""
"Apr.1990","00000","Japan","123337000",""
"May 1990","00000","Japan","123316000",""
"Jun.1990","00000","Japan","123447000",""
"Jul.1990","00000","Japan","123478000",""
"Aug.1990","00000","Japan","123402000",""
"Sep.1990","00000","Japan","123505000",""
"Oct.1990","00000","Japan","123611167","“Population Census”, Statistics Bureau, Ministry of Internal Affairs and Communications."
"Nov.1990","00000","Japan","123665000",""
"Dec.1990","00000","Japan","123702000",""
"Jan.1991","00000","Japan","123606000",""
"Feb.1991","00000","Japan","123797000",""
"Mar.1991","00000","Japan","123817000",""
"Apr.1991","00000","Japan","123869000",""
"May 1991","00000","Japan","123826000",""
"Jun.1991","00000","Japan","123922000",""
"Jul.1991","00000","Japan","123964000",""
"Aug.1991","00000","Japan","123895000",""
"Sep.1991","00000","Japan","123997000",""
"Oct.1991","00000","Japan","124101000",""
"Nov.1991","00000","Japan","124143000",""
"Dec.1991","00000","Japan","124204000",""
"Jan.1992","00000","Japan","124067000",""
"Feb.1992","00000","Japan","124217000",""
"Mar.1992","00000","Japan","124179000",""
"Apr.1992","00000","Japan","124259000",""
"May 1992","00000","Japan","124298000",""
"Jun.1992","00000","Japan","124367000",""
"Jul.1992","00000","Japan","124425000",""
"Aug.1992","00000","Japan","124341000",""
"Sep.1992","00000","Japan","124468000",""
"Oct.1992","00000","Japan","124567000",""
"Nov.1992","00000","Japan","124566000",""
"Dec.1992","00000","Japan","124650000",""
"Jan.1993","00000","Japan","124528000",""
"Feb.1993","00000","Japan","124665000",""
"Mar.1993","00000","Japan","124625000",""
"Apr.1993","00000","Japan","124677000",""
"May 1993","00000","Japan","124650000",""
"Jun.1993","00000","Japan","124791000",""
"Jul.1993","00000","Japan","124829000",""
"Aug.1993","00000","Japan","124725000",""
"Sep.1993","00000","Japan","124846000",""
"Oct.1993","00000","Japan","124938000",""
"Nov.1993","00000","Japan","124961000",""
"Dec.1993","00000","Japan","125002000",""
"Jan.1994","00000","Japan","124870000",""
"Feb.1994","00000","Japan","125019000",""
"Mar.1994","00000","Japan","124965000",""
"Apr.1994","00000","Japan","125018000",""
"May 1994","00000","Japan","124967000",""
"Jun.1994","00000","Japan","125137000",""
"Jul.1994","00000","Japan","125178000",""
"Aug.1994","00000","Japan","125071000",""
"Sep.1994","00000","Japan","125183000",""
"Oct.1994","00000","Japan","125265000",""
"Nov.1994","00000","Japan","125338000",""
"Dec.1994","00000","Japan","125385000",""
"Jan.1995","00000","Japan","125245000",""
"Feb.1995","00000","Japan","125405000",""
"Mar.1995","00000","Japan","125327000",""
"Apr.1995","00000","Japan","125362000",""
"May 1995","00000","Japan","125324000",""
"Jun.1995","00000","Japan","125448000",""
"Jul.1995","00000","Japan","125472000",""
"Aug.1995","00000","Japan","125362000",""
"Sep.1995","00000","Japan","125457000",""
"Oct.1995","00000","Japan","125570246","“Population Census”, Statistics Bureau, Ministry of Internal Affairs and Communications."
"Nov.1995","00000","Japan","125615000",""
"Dec.1995","00000","Japan","125648000",""
"Jan.1996","00000","Japan","125500000",""
"Feb.1996","00000","Japan","125633000",""
"Mar.1996","00000","Japan","125587000",""
"Apr.1996","00000","Japan","125634000",""
"May 1996","00000","Japan","125621000",""
"Jun.1996","00000","Japan","125719000",""
"Jul.1996","00000","Japan","125757000",""
"Aug.1996","00000","Japan","125658000",""
"Sep.1996","00000","Japan","125737000",""
"Oct.1996","00000","Japan","125859000",""
"Nov.1996","00000","Japan","125890000",""
"Dec.1996","00000","Japan","125939000",""
"Jan.1997","00000","Japan","125747000",""
"Feb.1997","00000","Japan","125912000",""
"Mar.1997","00000","Japan","125860000",""
"Apr.1997","00000","Japan","125942000",""
"May 1997","00000","Japan","125960000",""
"Jun.1997","00000","Japan","126013000",""
"Jul.1997","00000","Japan","126057000",""
"Aug.1997","00000","Japan","125972000",""
"Sep.1997","00000","Japan","126062000",""
"Oct.1997","00000","Japan","126157000",""
"Nov.1997","00000","Japan","126191000",""
"Dec.1997","00000","Japan","126258000",""
"Jan.1998","00000","Japan","126096000",""
"Feb.1998","00000","Japan","126305000",""
"Mar.1998","00000","Japan","126207000",""
"Apr.1998","00000","Japan","126271000",""
"May 1998","00000","Japan","126293000",""
"Jun.1998","00000","Japan","126362000",""
"Jul.1998","00000","Japan","126400000",""
"Aug.1998","00000","Japan","126307000",""
"Sep.1998","00000","Japan","126398000",""
"Oct.1998","00000","Japan","126472000",""
"Nov.1998","00000","Japan","126505000",""
"Dec.1998","00000","Japan","126568000",""
"Jan.1999","00000","Japan","126432000",""
"Feb.1999","00000","Japan","126566000",""
"Mar.1999","00000","Japan","126473000",""
"Apr.1999","00000","Japan","126535000",""
"May 1999","00000","Japan","126473000",""
"Jun.1999","00000","Japan","126618000",""
"Jul.1999","00000","Japan","126631000",""
"Aug.1999","00000","Japan","126531000",""
"Sep.1999","00000","Japan","126611000",""
"Oct.1999","00000","Japan","126667000",""
"Nov.1999","00000","Japan","126735000",""
"Dec.1999","00000","Japan","126772000",""
"Jan.2000","00000","Japan","126746000",""
"Feb.2000","00000","Japan","126794000",""
"Mar.2000","00000","Japan","126714000",""
"Apr.2000","00000","Japan","126758000",""
"May 2000","00000","Japan","126737000",""
"Jun.2000","00000","Japan","126826000",""
"Jul.2000","00000","Japan","126843000",""
"Aug.2000","00000","Japan","126770000",""
"Sep.2000","00000","Japan","126837000",""
"Oct.2000","00000","Japan","126925843","“Population Census”, Statistics Bureau, Ministry of Internal Affairs and Communications."
"Nov.2000","00000","Japan","126998000",""
"Dec.2000","00000","Japan","127027000",""
"Jan.2001","00000","Japan","126912000",""
"Feb.2001","00000","Japan","127050000",""
"Mar.2001","00000","Japan","126980000",""
"Apr.2001","00000","Japan","127052000",""
"May 2001","00000","Japan","127011000",""
"Jun.2001","00000","Japan","127125000",""
"Jul.2001","00000","Japan","127149000",""
"Aug.2001","00000","Japan","127069000",""
"Sep.2001","00000","Japan","127131000",""
"Oct.2001","00000","Japan","127316000",""
"Nov.2001","00000","Japan","127396000",""
"Dec.2001","00000","Japan","127397000",""
"Jan.2002","00000","Japan","127261000",""
"Feb.2002","00000","Japan","127343000",""
"Mar.2002","00000","Japan","127272000",""
"Apr.2002","00000","Japan","127371000",""
"May 2002","00000","Japan","127350000",""
"Jun.2002","00000","Japan","127418000",""
"Jul.2002","00000","Japan","127445000",""
"Aug.2002","00000","Japan","127362000",""
"Sep.2002","00000","Japan","127405000",""
"Oct.2002","00000","Japan","127486000",""
"Nov.2002","00000","Japan","127527000",""
"Dec.2002","00000","Japan","127564000",""
"Jan.2003","00000","Japan","127400000",""
"Feb.2003","00000","Japan","127563000",""
"Mar.2003","00000","Japan","127468000",""
"Apr.2003","00000","Japan","127623000",""
"May 2003","00000","Japan","127672000",""
"Jun.2003","00000","Japan","127733000",""
"Jul.2003","00000","Japan","127718000",""
"Aug.2003","00000","Japan","127643000",""
"Sep.2003","00000","Japan","127645000",""
"Oct.2003","00000","Japan","127694000",""
"Nov.2003","00000","Japan","127704000",""
"Dec.2003","00000","Japan","127750000",""
"Jan.2004","00000","Japan","127603000",""
"Feb.2004","00000","Japan","127739000",""
"Mar.2004","00000","Japan","127675000",""
"Apr.2004","00000","Japan","127736000",""
"May 2004","00000","Japan","127654000",""
"Jun.2004","00000","Japan","127768000",""
"Jul.2004","00000","Japan","127761000",""
"Aug.2004","00000","Japan","127703000",""
"Sep.2004","00000","Japan","127730000",""
"Oct.2004","00000","Japan","127787000",""
"Nov.2004","00000","Japan","127819000",""
"Dec.2004","00000","Japan","127838000",""
"Jan.2005","00000","Japan","127740000",""
"Feb.2005","00000","Japan","127793000",""
"Mar.2005","00000","Japan","127714000",""
"Apr.2005","00000","Japan","127791000",""
"May 2005","00000","Japan","127647000",""
"Jun.2005","00000","Japan","127780000",""
"Jul.2005","00000","Japan","127773000",""
"Aug.2005","00000","Japan","127729000",""
"Sep.2005","00000","Japan","127734000",""
"Oct.2005","00000","Japan","127767994","“Population Census”, Statistics Bureau, Ministry of Internal Affairs and Communications."
"Nov.2005","00000","Japan","127792000",""
"Dec.2005","00000","Japan","127795000",""
"Jan.2006","00000","Japan","127781000",""
"Feb.2006","00000","Japan","127776000",""
"Mar.2006","00000","Japan","127761000",""
"Apr.2006","00000","Japan","127788000",""
"May 2006","00000","Japan","127777000",""
"Jun.2006","00000","Japan","127825000",""
"Jul.2006","00000","Japan","127854000",""
"Aug.2006","00000","Japan","127876000",""
"Sep.2006","00000","Japan","127862000",""
"Oct.2006","00000","Japan","127901000",""
"Nov.2006","00000","Japan","127925000",""
"Dec.2006","00000","Japan","127935000",""
"Jan.2007","00000","Japan","127925000",""
"Feb.2007","00000","Japan","127938000",""
"Mar.2007","00000","Japan","127908000",""
"Apr.2007","00000","Japan","127942000",""
"May 2007","00000","Japan","127925000",""
"Jun.2007","00000","Japan","127971000",""
"Jul.2007","00000","Japan","128001000",""
"Aug.2007","00000","Japan","128024000",""
"Sep.2007","00000","Japan","127997000",""
"Oct.2007","00000","Japan","128033000",""
"Nov.2007","00000","Japan","128047000",""
"Dec.2007","00000","Japan","128050000",""
"Jan.2008","00000","Japan","128026000",""
"Feb.2008","00000","Japan","128020000",""
"Mar.2008","00000","Japan","127992000",""
"Apr.2008","00000","Japan","128013000",""
"May 2008","00000","Japan","127999000",""
"Jun.2008","00000","Japan","128032000",""
"Jul.2008","00000","Japan","128063000",""
"Aug.2008","00000","Japan","128075000",""
"Sep.2008","00000","Japan","128043000",""
"Oct.2008","00000","Japan","128084000",""
"Nov.2008","00000","Japan","128098000",""
"Dec.2008","00000","Japan","128099000",""
"Jan.2009","00000","Japan","128069000",""
"Feb.2009","00000","Japan","128048000",""
"Mar.2009","00000","Japan","128013000",""
"Apr.2009","00000","Japan","128022000",""
"May 2009","00000","Japan","127996000",""
"Jun.2009","00000","Japan","128026000",""
"Jul.2009","00000","Japan","128047000",""
"Aug.2009","00000","Japan","128040000",""
"Sep.2009","00000","Japan","128002000",""
"Oct.2009","00000","Japan","128032000",""
"Nov.2009","00000","Japan","128055000",""
"Dec.2009","00000","Japan","128059000",""
"Jan.2010","00000","Japan","128032000",""
"Feb.2010","00000","Japan","128052000",""
"Mar.2010","00000","Japan","128003000",""
"Apr.2010","00000","Japan","128032000",""
"May 2010","00000","Japan","128011000",""
"Jun.2010","00000","Japan","128041000",""
"Jul.2010","00000","Japan","128070000",""
"Aug.2010","00000","Japan","128069000",""
"Sep.2010","00000","Japan","128028000",""
"Oct.2010","00000","Japan","128057352","“Population Census”, Statistics Bureau, Ministry of Internal Affairs and Communications."
"Nov.2010","00000","Japan","128066000",""
"Dec.2010","00000","Japan","128058000",""
"Jan.2011","00000","Japan","128027000",""
"Feb.2011","00000","Japan","127994000",""
"Mar.2011","00000","Japan","127945000",""
"Apr.2011","00000","Japan","127708000",""
"May 2011","00000","Japan","127749000",""
"Jun.2011","00000","Japan","127809000",""
"Jul.2011","00000","Japan","127833000",""
"Aug.2011","00000","Japan","127838000",""
"Sep.2011","00000","Japan","127797000",""
"Oct.2011","00000","Japan","127834000",""
"Nov.2011","00000","Japan","127839000",""
"Dec.2011","00000","Japan","127831000",""
"Jan.2012","00000","Japan","127708000",""
"Feb.2012","00000","Japan","127678000",""
"Mar.2012","00000","Japan","127629000",""
"Apr.2012","00000","Japan","127625000",""
"May 2012","00000","Japan","127584000",""
"Jun.2012","00000","Japan","127611000",""
"Jul.2012","00000","Japan","127629000",""
"Aug.2012","00000","Japan","127625000",""
"Sep.2012","00000","Japan","127561000",""
"Oct.2012","00000","Japan","127593000",""
"Nov.2012","00000","Japan","127593000",""
"Dec.2012","00000","Japan","127575000",""
"Jan.2013","00000","Japan","127529000",""
"Feb.2013","00000","Japan","127501000",""
"Mar.2013","00000","Japan","127429000",""
"Apr.2013","00000","Japan","127450000",""
"May 2013","00000","Japan","127409000",""
"Jun.2013","00000","Japan","127428000",""
"Jul.2013","00000","Japan","127445000",""
"Aug.2013","00000","Japan","127445000",""
"Sep.2013","00000","Japan","127375000",""
"Oct.2013","00000","Japan","127414000",""
"Nov.2013","00000","Japan","127413000",""
"Dec.2013","00000","Japan","127399000",""
"Jan.2014","00000","Japan","127357000",""
"Feb.2014","00000","Japan","127315000",""
